"302569.095282171,4124128.08929299"
"302568.067630104,4124128.06405641"
"302567.034794325,4124128.05835299"
"302565.956340228,4124128.03254706"
"302564.861048915,4124128.01066662"
"302563.760739851,4124128.01537402"
"302562.677102026,4124128.00910153"
"302561.621374052,4124127.98982013"
"302560.599320462,4124127.96268813"
"302559.520907766,4124127.93864669"
"302558.443075906,4124127.93929674"
"302557.416626885,4124127.96520785"
"302556.349909169,4124127.95853814"
"302555.283108456,4124127.94834123"
"302554.278016454,4124127.92257562"
"302553.21681429,4124127.91048263"
"302552.211888222,4124127.89177194"
"302551.195391591,4124127.86098107"
"302550.18561376,4124127.875913"
"302549.096294242,4124127.86801128"
"302548.012697751,4124127.86350435"
"302547.002090075,4124127.8431633"
"302545.895642889,4124127.82684171"
"302544.794628292,4124127.80156923"
"302543.750097243,4124127.77849737"
"302542.699926119,4124127.75555831"
"302541.63262735,4124127.72419912"
"302540.627327711,4124127.6896168"
"302539.616014561,4124127.63929428"
"302538.599061331,4124127.58910457"
"302537.598779298,4124127.52793491"
"302536.612554373,4124127.34467417"
"302535.63590827,4124127.08883777"
"302534.67796341,4124126.66844955"
"302533.769368191,4124126.18690248"
"302532.897556148,4124125.5897882"
"302532.169522448,4124124.86753081"
"302531.518208773,4124124.04817766"
"302531.067945449,4124123.13939141"
"302530.778878653,4124122.1262279"
"302530.511168702,4124121.06138724"
"302530.363601321,4124120.06607035"
"302530.30332882,4124118.94340988"
"302530.330022495,4124117.91928805"
"302530.350038754,4124116.85120721"
"302530.37071894,4124115.81134506"
"302530.395088971,4124114.68845782"
"302530.432730888,4124113.64996126"
"302530.452705726,4124112.58011676"
"302530.479109046,4124111.54364926"
"302530.527699207,4124110.49077796"
"302530.566212597,4124109.48931844"
"302530.620567364,4124108.44160546"
"302530.668244722,4124107.34993347"
"302530.676068147,4124106.24331735"
"302530.657475469,4124105.21320243"
"302530.621838097,4124104.1781946"
"302530.580228696,4124103.12921013"
"302530.56088914,4124102.06734919"
"302530.529854492,4124100.98811696"
"302530.514287778,4124099.84675827"
"302530.507597712,4124098.84283299"
"302530.514342368,4124097.69036151"
"302530.52888482,4124096.62946807"
"302530.564369334,4124095.4992608"
"302530.59255402,4124094.2986395"
"302530.608507331,4124093.29771078"
"302530.61873759,4124092.29338743"
"302530.634649435,4124091.29069505"
"302530.633558055,4124090.28487343"
"302530.626743618,4124089.27565716"
"302530.625649133,4124088.02984398"
"302530.658519666,4124086.78852563"
"302530.680317515,4124085.55629101"
"302530.702322866,4124084.33287474"
"302530.701560407,4124083.10117091"
"302530.706150704,4124082.09698027"
"302530.699419344,4124081.09129135"
"302530.69824509,4124080.08194241"
"302530.697236823,4124079.07964813"
"302530.713270231,4124077.84225522"
"302530.735607649,4124076.63294831"
"302530.775363305,4124075.44440733"
"302530.76493905,4124074.28175196"
"302530.737719002,4124073.12478569"
"302530.721903634,4124071.97284503"
"302530.717617437,4124070.83122098"
"302530.730749467,4124069.71036288"
"302530.772496949,4124068.60647798"
"302530.797739096,4124067.52062785"
"302530.839569608,4124066.42027029"
"302530.88704024,4124065.31978005"
"302530.917632095,4124064.22145155"
"302530.931428145,4124063.12881215"
"302530.933944003,4124062.03643813"
"302530.913982446,4124060.94812224"
"302530.916996252,4124059.87691225"
"302530.937054869,4124058.81059517"
"302530.962463148,4124057.73179973"
"302530.998944195,4124056.64392057"
"302531.046705479,4124055.55577602"
"302531.105788494,4124054.46912975"
"302531.160476237,4124053.43552621"
"302531.208030127,4124052.33856333"
"302531.26085071,4124051.22559474"
"302531.285304786,4124050.10623495"
"302531.312497464,4124049.10327726"
"302531.330896532,4124047.96641348"
"302531.328062965,4124046.88651787"
"302531.332321791,4124045.86821794"
"302531.341805807,4124044.83214864"
"302531.368708107,4124043.81684528"
"302531.417175044,4124042.75868311"
"302531.454320282,4124041.69902266"
"302531.473549342,4124040.59743226"
"302531.477351833,4124039.559732"
"302531.4909823,4124038.46003797"
"302531.472597777,4124037.43874149"
"302531.459521434,4124036.40320298"
"302531.439726153,4124035.32194179"
"302531.436394819,4124034.22088218"
"302531.45574846,4124033.1245828"
"302531.479787902,4124031.98758637"
"302531.484046913,4124030.96928646"
"302531.482375358,4124029.93877358"
"302531.4743998,4124028.8801747"
"302531.488611318,4124027.80517204"
"302531.498634981,4124026.79203045"
"302531.52566203,4124025.78201812"
"302531.530336048,4124024.78135491"
"302531.544506133,4124023.70458859"
"302531.554571345,4124022.69321067"
